流水號,序號,期別,補筆路,
1290,6335,050A,1,
1291,6649,050B,1,
1292,6617,050B,1,
1293,6621,050B,1,
1294,6623,050B,1,
1295,2885,050B,1,
1296,6573,050B,2,
1297,6578,050B,2,
1298,6512,050B,2,
1299,6629,050B,2,
1300,6532,050B,1,
1301,6668,050B,1,
1302,6635,050B,2,
1303,6493,050B,1,
1304,5727,050B,1,
1305,6726,051A,1,
1306,6728,051A,1,
1307,6705,051A,1,
1308,6700,051A,1,
1309,6745,051A,1,
1310,6737,051A,1,
1311,6692,051A,1,
1312,6675,051A,1,
1313,6187,051A,1,
1314,2577,051A,1,
1315,6667,051A,2,
1316,6716,051A,2,
1317,6746,051A,2,
1318,6703,051A,2,
1319,6668,051A,1,
1320,2885,051A,1,
1321,6723,051A,1,
1340,6064,051B,1,
1341,6086,051B,1,
1342,5973,051B,1,
1343,6262,051B,1,
1344,6060,051B,1,
1345,6200,051B,1,
1346,6061,051B,1,
1347,6130,051B,1,
1348,6154,051B,1,
1349,6197,051B,1,
1350,6198,051B,1,
1351,5968,051B,1,
1352,6077,051B,1,
1353,6668,051B,1,
1354,6743,051B,1,
1355,6803,051B,1,
1356,6737,051B,1,
1357,6801,051B,1,
1358,6805,051B,1,
1359,6751,051B,1,
1360,6799,051B,1,
1361,2885,051B,1,
1362,6893,051B,1,
1363,6703,051B,2,
1364,6755,051B,2,
1365,6776,051B,2,
1366,6784,051B,2,
1367,6761,051B,2,
1368,6783,051B,2,
1369,6187,051B,2,
1370,6150,051B,1,
1372,6878,052A,1,
1373,6827,052A,1,
1374,6743,052A,1,
1375,6154,052A,1,
1376,6130,052A,2,
1377,6879,052A,2,
1378,6900,052A,2,
1379,6860,052A,2,
1380,6889,052A,2,
1381,6824,052A,2,
1382,6869,052A,2,
1383,2882,052A,1,
1384,6447,052A,1,
1385,6838,052A,1,
1386,7016,052B,1,
1387,6943,052B,1,
1388,7078,052B,1,
1389,6958,052B,1,
1390,7077,052B,1,
1391,7045,052B,1,
1392,7041,052B,1,
1393,7004,052B,1,
1394,6990,052B,1,
1395,6838,052B,1,
1396,7074,052B,1,
1397,6947,052B,2,
1398,7023,052B,2,
1399,7060,052B,2,
1400,6872,052B,2,
1401,6992,052B,2,
1402,6950,052B,2,
1403,6978,052B,2,
1404,7010,052B,2,
1405,7088,052B,2,
1406,7068,052B,2,
1407,2882,052B,2,
1408,7019,052B,2,
1409,7085,052B,2,
1410,6903,052B,2,
1411,6860,052B,2,
1412,7027,052B,1,
1413,7063,052B,1,
1414,7009,052B,1,
1415,7008,052B,1,
1416,7002,052B,2,
1417,5697,053A,1,
1418,7100,053A,1,
1419,7151,053A,1,
1420,7147,053A,1,
1421,7174,053A,1,
1422,7149,053A,1,
1423,6838,053A,1,
1424,6978,053A,2,
1425,7008,053A,2,
1426,6990,053A,2,
1427,6943,053A,2,
1428,7045,053A,2,
1429,7154,053A,2,
1430,7191,053A,2,
1431,7123,053A,2,
1432,7074,053A,2,
1433,7083,053A,2,
1434,7110,053A,2,
1435,2882,053A,2,
1436,7306,053B,1,
1437,7379,053B,1,
1438,7218,053B,1,
1439,7194,053B,1,
1440,7253,053B,1,
1441,7322,053B,1,
1442,7238,053B,1,
1443,7300,053B,1,
1444,7226,053B,1,
1446,7155,053B,2,
1447,7063,053B,2,
1448,7083,053B,2,
1449,7317,053B,2,
1450,7376,053B,2,
1451,6943,053B,2,
1452,7249,053B,2,
1453,7264,053B,2,
1454,7335,053B,2,
1455,7205,053B,2,
1456,7326,053B,2,
1457,7375,053B,2,
1458,7352,053B,2,
1459,7341,053B,2,
1460,7193,053B,2,
1461,7139,053B,1,
1462,7333,053B,1,
1463,7337,053B,2,
1464,7465,054A,1,
1465,7418,054A,1,
1466,1487,054A,1,
1467,7238,054A,1,
1468,7253,054A,1,
1469,7322,054A,1,
1470,7505,054A,1,
1471,7385,054A,1,
1472,7367,054A,1,
1473,7493,054A,1,
1474,7449,054A,1,
1475,7475,054A,1,
1476,7480,054A,1,
1477,7451,054A,1,
1478,7402,054A,1,
1479,7368,054A,1,
1480,7409,054A,1,
1481,7180,054A,1,
1482,7147,054A,1,
1483,7469,054A,2,
1484,7376,054A,2,
1485,7435,054A,2,
1486,7226,054A,2,
1487,7447,054A,2,
1488,7488,054A,2,
1489,7194,054A,2,
1490,7405,054A,2,
1491,7414,054A,2,
1492,7379,054A,2,
1493,7375,054A,2,
1494,7383,054A,2,
1495,7442,054A,1,
1496,7585,054B,1,
1497,7480,054B,1,
1498,7180,054B,1,
1499,7517,054B,1,
1500,7584,054B,1,
1501,7525,054B,1,
1502,7608,054B,1,
1503,7522,054B,1,
1504,7322,054B,1,
1505,7405,054B,2,
1506,7548,054B,2,
1507,7558,054B,2,
1508,7539,054B,2,
1509,7560,054B,2,
1510,7375,054B,2,
1511,7556,054B,2,
1512,7521,054B,2,
1513,7237,054B,2,
1514,7451,054B,2,
1515,7579,054B,2,
1516,7495,054B,1,
1517,7631,055A,1,
1518,7678,055A,1,
1519,7692,055A,1,
1520,7713,055A,1,
1521,7671,055A,1,
1522,7682,055A,1,
1523,7680,055A,1,
1524,7679,055A,1,
1525,7667,055A,1,
1526,7322,055A,2,
1527,7652,055A,2,
1528,7654,055A,2,
1529,7716,055A,2,
1530,7644,055A,2,
1531,7688,055A,2,
1532,7556,055A,2,
1533,7613,055A,2,
1534,7650,055A,2,
1535,7659,055A,2,
1536,7627,055A,1,
1537,5454,055A,2,
1538,7785,055B,1,
1539,7734,055B,1,
1540,7864,055B,1,
1541,7836,055B,1,
1542,7717,055B,1,
1543,7682,055B,1,
1544,7777,055B,1,
1545,7828,055B,2,
1546,7813,055B,2,
1547,7652,055B,2,
1548,7654,055B,2,
1549,7803,055B,2,
1550,7796,055B,2,
1551,7806,055B,2,
1552,7818,055B,2,
1553,7787,055B,2,
1554,7981,056A,1,
1555,7926,056A,1,
1556,7933,056A,1,
1557,7970,056A,1,
1558,7199,056A,1,
1559,7957,056A,1,
1560,7878,056A,1,
1561,7785,056A,1,
1562,7872,056A,1,
1563,7915,056A,1,
1564,7885,056A,1,
1565,7931,056A,1,
1566,7955,056A,1,
1567,7896,056A,1,
1568,7976,056A,1,
1569,7969,056A,1,
1570,7980,056A,1,
1571,7868,056A,1,
1572,7927,056A,1,
1573,7985,056A,2,
1574,7960,056A,2,
1575,8000,056A,2,
1576,7913,056A,2,
1577,7870,056A,2,
1578,6213,056A,1,
1579,7954,056A,1,
1580,5576,056A,1,
1581,7696,056A,1,
1582,6281,056B,1,
1583,6219,056B,1,
1584,6220,056B,1,
1585,8037,056B,1,
1586,8136,056B,1,
1587,8033,056B,1,
1588,7980,056B,1,
1589,8074,056B,1,
1590,8144,056B,1,
1591,8055,056B,1,
1592,8140,056B,1,
1593,7785,056B,1,
1594,8137,056B,1,
1595,8115,056B,1,
1596,8013,056B,1,
1597,6130,056B,2,
1598,7878,056B,2,
1599,7913,056B,2,
1600,8056,056B,2,
1601,8065,056B,2,
1602,8027,056B,2,
1603,8009,056B,2,
1604,7817,056B,2,
1605,8007,056B,2,
1606,8069,056B,2,
1607,8083,056B,1,
1608,8029,057A,1,
1609,8083,057A,1,
1610,2427,057A,1,
1611,7980,057A,1,
1612,8187,057A,1,
1613,8192,057A,1,
1615,8173,057A,1,
1616,8235,057A,1,
1617,8218,057A,1,
1618,8190,057A,1,
1619,8175,057A,1,
1620,8176,057A,2,
1621,8144,057A,2,
1622,8202,057A,2,
1623,8225,057A,2,
1624,8266,057A,2,
1625,8009,057A,2,
1626,7785,057A,2,
1627,8204,057A,2,
1628,8196,057A,2,
1629,8208,057A,2,
1630,8159,057A,2,
1631,8215,057A,2,
1632,7186,057A,2,
1633,7925,057A,2,
1634,7885,057A,1,
1635,8185,057A,1,
1636,7850,057B,1,
1637,8203,057B,1,
1638,8242,057B,1,
1639,8314,057B,1,
1640,8234,057B,1,
1641,8284,057B,1,
1642,8440,057B,1,
1643,8290,057B,1,
1644,8320,057B,1,
1645,8315,057B,1,
1646,8374,057B,1,
1647,8380,057B,1,
1648,8173,057B,1,
1649,8235,057B,1,
1650,8462,057B,2,
1651,8483,057B,2,
1652,8450,057B,2,
1653,8317,057B,2,
1654,8187,057B,2,
1655,8029,057B,2,
1656,8357,057B,2,
1657,8291,057B,2,
1658,8324,057B,2,
1659,8246,057B,2,
1661,8464,057B,2,
1662,8329,057B,2,
1663,8086,057B,1,
1664,6390,058B,1,
1665,8746,058B,1,
1666,8719,058B,1,
1667,8744,058B,1,
1668,8568,058B,1,
1669,8709,058B,1,
1670,8646,058B,1,
1671,8680,058B,1,
1672,8724,058B,1,
1673,8487,058B,1,
1674,8544,058B,1,
1675,8600,058B,1,
1676,8586,058B,1,
1677,8437,058B,1,
1678,8663,058B,2,
1679,8515,058B,2,
1680,8720,058B,2,
1681,8630,058B,2,
1682,8689,058B,2,
1683,8627,058B,2,
1684,8642,058B,2,
1685,8669,058B,2,
1686,8658,058B,2,
1687,8707,058B,2,
1688,8415,058B,2,
1689,8652,058B,2,
1690,8714,058B,2,
1691,8717,058B,2,
1692,8290,058B,2,
1693,8664,058B,2,
1694,8417,058B,2,
1695,8559,058B,2,
1696,8569,058B,2,
1697,8623,058B,2,
1698,8607,058B,2,
1699,8604,058B,1,
1700,8469,058B,1,
1701,5626,058B,1,
1702,8830,059A,1,
1703,6851,059A,1,
1704,8611,059A,1,
1705,7869,059A,1,
1706,8813,059A,1,
1707,8823,059A,1,
1708,8646,059A,1,
1709,8774,059A,1,
1710,8680,059A,1,
1711,8837,059A,1,
1712,8568,059A,1,
1713,8807,059A,1,
1714,8762,059A,1,
1715,8844,059A,1,
1716,8365,059A,2,
1717,8717,059A,2,
1718,8806,059A,2,
1719,8709,059A,2,
1720,8630,059A,2,
1721,8789,059A,2,
1722,8748,059A,2,
1723,8623,059A,2,
1724,8778,059A,2,
1725,8797,059A,2,
1726,8820,059A,2,
1727,8741,059A,2,
1728,8790,059A,2,
1729,8700,059A,2,
1730,8815,059A,2,
1731,8696,059A,2,
1732,8824,059A,1,
1733,8009,059A,2,
1734,8900,059B,1,
1735,8780,059B,1,
1736,8680,059B,1,
1737,8896,059B,1,
1738,8874,059B,1,
1739,8901,059B,1,
1740,8968,059B,1,
1741,8866,059B,1,
1742,8842,059B,1,
1743,8927,059B,1,
1744,6851,059B,1,
1745,8881,059B,2,
1746,8924,059B,2,
1747,8748,059B,2,
1748,8762,059B,2,
1749,8891,059B,2,
1750,8907,059B,2,
1751,8939,059B,2,
1752,8964,059B,2,
1753,8717,059B,2,
1754,8815,059B,2,
1755,8910,059B,2,
1756,8628,059B,1,
1757,8744,059B,1,
1758,8811,059B,1,
1759,6839,060A,1,
1760,8785,060A,1,
1761,8949,060A,1,
1762,9040,060A,1,
1763,9038,060A,1,
1764,9005,060A,1,
1765,9053,060A,1,
1766,9004,060A,1,
1767,8871,060A,1,
1768,9047,060A,1,
1769,9029,060A,1,
1770,8744,060A,1,
1771,8927,060A,1,
1772,8985,060A,2,
1773,9007,060A,2,
1774,9024,060A,2,
1775,9054,060A,2,
1776,9057,060A,2,
1777,8997,060A,2,
1778,8762,060A,2,
1779,9036,060A,2,
1780,8717,060A,2,
1781,9030,060A,2,
1782,8983,060A,2,
1783,8995,060A,2,
1784,9039,060A,2,
1785,9149,060B,1,
1786,9120,060B,1,
1787,8900,060B,1,
1788,9091,060B,1,
1789,8927,060B,1,
1790,6839,060B,1,
1791,9053,060B,1,
1792,9117,060B,2,
1793,9152,060B,2,
1794,9005,060B,2,
1795,9029,060B,2,
1796,9007,060B,2,
1797,8871,060B,1,
1798,9140,061A,1,
1799,7667,061A,1,
1800,9173,061A,1,
1801,9053,061A,1,
1802,8927,061A,1,
1803,8530,061A,2,
1804,9196,061A,2,
1805,9180,061A,2,
1806,9205,061A,2,
1807,7175,061A,2,
1808,9220,061A,1,
1809,8811,061A,1,
1810,8871,061A,1,
1811,9195,061A,1,
1812,9274,061B,1,
1813,8532,061B,1,
1814,8716,061B,1,
1815,9251,061B,1,
1816,9280,061B,1,
1817,9239,061B,1,
1818,9220,061B,1,
1819,9296,061B,1,
1820,9240,061B,1,
1821,9294,061B,1,
1822,9312,061B,1,
1823,8927,061B,1,
1824,9241,061B,1,
1825,9325,061B,1,
1826,9287,061B,1,
1827,9286,061B,2,
1828,9326,061B,2,
1829,9260,061B,2,
1830,9279,061B,2,
1831,8811,061B,2,
1832,9297,061B,2,
1833,9284,061B,2,
1834,9295,061B,2,
1835,9195,061B,1,
1836,8498,062A,1,
1837,9380,062A,1,
1838,8535,062A,1,
1839,8706,062A,1,
1841,9385,062A,1,
1842,8927,062A,1,
1843,9312,062A,1,
1844,9334,062A,1,
1845,9371,062A,1,
1846,8724,062A,1,
1847,9335,062A,2,
1848,9376,062A,2,
1849,9317,062A,2,
1850,9287,062A,2,
1851,9368,062A,2,
1854,9240,062A,2,
1855,7119,062B,1,
1856,8055,062B,1,
1857,9482,062B,1,
1858,9408,062B,1,
1859,9413,062B,1,
1860,9445,062B,1,
1861,9334,062B,1,
1862,9414,062B,1,
1863,9447,062B,1,
1864,7155,062B,2,
1865,9459,062B,2,
1866,9424,062B,2,
1867,8927,062B,2,
1868,9405,062B,2,
1869,9368,062B,2,
1870,9400,062B,2,
1871,9403,063A,1,
1872,9465,063A,1,
1873,9466,063A,1,
1874,9577,063A,1,
1875,9525,063A,1,
1876,9497,063A,1,
1877,9558,063A,1,
1878,9492,063A,1,
1879,9486,063A,1,
1880,9334,063A,1,
1881,9527,063A,1,
1882,9538,063A,1,
1883,9564,063A,1,
1884,9567,063A,1,
1885,9404,063A,1,
1886,9240,063A,2,
1887,9582,063A,2,
1888,9569,063A,2,
1889,9515,063A,2,
1890,9528,063A,2,
1891,9589,063A,2,
1892,8055,063A,2,
1893,8738,063A,1,
1895,9636,063B,1,
1896,9654,063B,1,
1897,9334,063B,1,
1898,9602,063B,1,
1899,9497,063B,2,
1900,9525,063B,2,
1901,9550,063B,2,
1902,9635,063B,2,
1903,9632,063B,2,
1904,9617,063B,2,
1905,9621,063B,2,
1906,9593,064A,1,
1907,9531,064A,1,
1908,9733,064A,1,
1909,9744,064A,1,
1910,9398,064A,1,
1911,9618,064A,1,
1912,9739,064A,1,
1913,9738,064A,1,
1914,9679,064A,1,
1915,9747,064A,1,
1916,9660,064A,1,
1917,9681,064A,1,
1918,9668,064A,1,
1919,7702,064A,1,
1920,9762,064A,2,
1921,9698,064A,2,
1922,9748,064A,2,
1923,9665,064A,2,
1924,9682,064A,2,
1925,9751,064A,2,
1926,9602,064A,2,
1927,9667,064A,2,
1928,9695,064A,2,
1929,7869,064A,1,
1930,9815,064B,1,
1931,9861,064B,1,
1932,9837,064B,1,
1933,9789,064B,1,
1934,9859,064B,1,
1935,9709,064B,1,
1936,9593,064B,1,
1937,9791,064B,1,
1938,9747,064B,1,
1939,9787,064B,1,
1940,9681,064B,1,
1941,9848,064B,1,
1942,9850,064B,1,
1943,9835,064B,1,
1944,9786,064B,1,
1945,9866,064B,1,
1946,9799,064B,1,
1947,9797,064B,1,
1948,9744,064B,1,
1949,9790,064B,2,
1950,9806,064B,2,
1951,9398,064B,2,
1953,9733,064B,2,
1954,9761,064B,2,
1955,7869,064B,2,
1956,9918,065A,1,
1957,9928,065A,1,
1958,9907,065A,1,
1959,9913,065A,1,
1960,9786,065A,1,
1961,9747,065A,1,
1962,9681,065A,1,
1963,9334,065A,1,
1964,9577,065A,1,
1965,9621,065A,2,
1966,9910,065A,2,
1967,9803,065A,2,
1968,9914,065A,2,
1969,9885,065A,1,
1970,9982,065B,1,
1971,9998,065B,1,
1972,10011,065B,1,
1973,9837,065B,1,
1974,10085,065B,1,
1975,10051,065B,1,
1976,9681,065B,1,
1977,9334,065B,1,
1978,10024,065B,2,
1979,10005,065B,2,
1980,9989,065B,2,
1981,10012,065B,2,
1982,9957,065B,2,
1983,9970,065B,2,
1984,9803,065B,2,
1985,10084,065B,2,
1986,9974,065B,1,
1987,9195,065B,2,
1988,9981,065B,2,
1989,8649,065B,1,
1990,9955,065B,1,
1991,10062,065B,1,
1992,9829,065B,2,
1993,10088,066A,1,
1994,10011,066A,1,
1995,10128,066A,1,
1996,10186,066A,1,
1997,9334,066A,1,
1998,10175,066A,1,
1999,10093,066A,1,
2000,10227,066A,1,
2001,10189,066A,1,
2002,10143,066A,1,
2003,10119,066A,1,
2004,10185,066A,1,
2005,10096,066A,1,
2006,404,066A,1,
2007,9604,066A,1,
2008,9610,066A,1,
2009,10214,066A,1,
2010,10097,066A,1,
2011,10225,066A,1,
2012,10223,066A,1,
2013,9195,066A,2,
2014,10173,066A,2,
2015,10178,066A,2,
2016,10249,066A,2,
2017,9989,066A,2,
2018,9955,066A,2,
2019,10098,066A,2,
2020,10155,066A,2,
2021,10137,066A,2,
2022,10142,066A,2,
2023,8472,066A,1,
2024,10087,066A,1,
2025,10326,066B,1,
2026,10340,066B,1,
2027,10280,066B,1,
2028,10296,066B,1,
2029,8645,066B,1,
2030,10113,066B,1,
2031,10348,066B,1,
2032,10378,066B,1,
2033,10096,066B,1,
2034,9334,066B,1,
2035,10128,066B,1,
2036,10372,066B,1,
2037,10290,066B,1,
2038,10376,066B,1,
2039,10253,066B,1,
2040,10365,066B,1,
2041,10309,066B,1,
2042,10271,066B,1,
2043,10319,066B,1,
2044,8479,066B,2,
2045,10088,066B,2,
2046,10268,066B,2,
2047,10305,066B,2,
2048,10093,066B,2,
2049,10349,066B,2,
2050,10281,066B,2,
2051,10359,066B,2,
2052,10354,066B,2,
2053,10137,066B,2,
2054,10369,066B,2,
2056,10240,066B,1,
2057,10449,067A,1,
2058,10441,067A,1,
2059,10472,067A,1,
2060,10484,067A,1,
2062,10485,067A,1,
2063,10405,067A,1,
2064,10460,067A,1,
2065,9334,067A,1,
2066,10412,067A,1,
2067,10502,067A,1,
2068,10438,067A,1,
2069,10468,067A,1,
2070,10416,067A,1,
2071,10491,067A,1,
2072,10253,067A,1,
2073,10175,067A,2,
2074,10429,067A,2,
2075,10128,067A,2,
2076,10425,067A,2,
2077,10481,067A,2,
2078,10519,067A,2,
2079,10482,067A,2,
2080,10442,067A,2,
2081,10526,067A,2,
2082,10512,067A,2,
2083,10464,067A,2,
2084,9619,067A,1,
2085,10323,067A,1,
2086,8466,067B,1,
2087,10240,067B,1,
2088,4306,067B,1,
2089,8185,067B,1,
2090,10386,067B,1,
2091,10636,067B,1,
2092,10560,067B,1,
2093,10721,067B,1,
2094,10629,067B,1,
2095,10612,067B,1,
2096,10583,067B,1,
2097,10676,067B,1,
2098,10539,067B,1,
2099,10556,067B,1,
2100,10575,067B,1,
2101,10438,067B,1,
2102,10468,067B,1,
2103,10481,067B,2,
2104,10515,067B,2,
2105,10617,067B,2,
2106,10578,067B,2,
2107,10475,067B,2,
2108,10597,067B,2,
2109,10554,067B,2,
2110,10569,067B,2,
2112,10410,067B,2,
2113,10610,067B,2,
2114,10651,068A,1,
2115,10914,068A,1,
2116,10702,068A,1,
2117,10903,068A,1,
2118,10902,068A,1,
2119,10732,068A,1,
2120,10794,068A,1,
2121,6428,068A,1,
2122,10747,068A,1,
2123,10672,068A,1,
2124,10934,068A,1,
2125,10710,068A,1,
2126,10897,068A,1,
2127,10704,068A,1,
2128,10792,068A,1,
2129,10937,068A,1,
2130,10682,068A,1,
2131,10645,068A,1,
2132,10696,068A,1,
2133,10556,068A,1,
2134,10575,068A,1,
2135,10600,068A,1,
2136,10691,068A,2,
2137,10808,068A,2,
2138,10906,068A,2,
2139,10931,068A,2,
2140,10904,068A,2,
2141,10657,068A,2,
2142,10583,068A,2,
2143,10901,068A,2,
2144,10844,068B,1,
2145,10940,068B,1,
2146,10769,068B,1,
2147,11060,068B,1,
2148,10762,068B,1,
2149,11068,068B,1,
2150,10798,068B,1,
2151,10792,068B,1,
2152,10575,068B,1,
2153,10755,068B,2,
2154,6428,068B,2,
2155,10904,068B,2,
2156,10791,068B,2,
2157,10827,068B,2,
2158,10600,068B,2,
2159,11074,068B,2,
2160,10915,068B,2,
2161,11061,068B,2,
2162,10875,068B,1,
2163,11030,069A,1,
2164,10468,069A,1,
2165,10965,069A,1,
2166,11126,069A,1,
2167,10939,069A,1,
2168,10975,069A,1,
2169,10983,069A,1,
2170,2421,069A,1,
2171,10763,069A,2,
2172,10958,069A,2,
2173,10904,069A,2,
2174,11031,069A,2,
2175,10798,069A,2,
2176,11007,069A,2,
2177,10938,069A,2,
2178,10987,069A,2,
2179,11021,069A,2,
2180,11090,069A,2,
2181,10947,069A,2,
2182,10913,069A,2,
2183,6558,069A,1,
2184,11117,069A,1,
2185,11102,069A,1,
2186,11024,069A,1,
2187,11038,069A,1,
2188,11282,069B,1,
2189,11019,069B,1,
2190,11297,069B,1,
2191,11285,069B,1,
2192,11209,069B,1,
2193,11155,069B,1,
2194,11180,069B,1,
2195,11249,069B,1,
2196,11201,069B,1,
2197,11105,069B,2,
2198,10939,069B,2,
2199,11044,069B,2,
2200,11233,069B,2,
2201,11151,069B,2,
2202,11238,069B,2,
2203,10949,069B,2,
2204,11274,069B,2,
2205,11182,069B,2,
2206,11174,069B,2,
2207,11084,069B,2,
2208,11181,069B,2,
2209,11071,069B,1,
2210,10975,069B,2,
2211,11316,070A,1,
2212,11381,070A,1,
2213,11362,070A,1,
2214,11351,070A,1,
2215,11290,070A,1,
2216,11269,070A,1,
2217,11283,070A,1,
2218,11304,070A,1,
2219,11403,070A,1,
2220,11348,070A,1,
2221,11400,070A,1,
2222,11180,070A,2,
2223,10949,070A,2,
2224,11370,070A,2,
2225,11208,070A,2,
2226,11345,070A,2,
2227,11373,070A,2,
2228,11361,070A,2,
2229,11374,070A,2,
2230,11368,070A,2,
2231,11416,070A,2,
2232,11089,070A,1,
2233,6558,070A,2,
2234,11272,070B,1,
2235,11438,070B,1,
2236,11432,070B,1,
2237,11437,070B,1,
2238,11089,070B,1,
2239,11346,070B,1,
2240,11430,070B,1,
2241,11094,070B,1,
2242,11180,070B,2,
2243,11396,070B,2,
2244,11501,070B,2,
2245,11455,070B,2,
2246,11425,070B,2,
2247,11351,070B,2,
2248,11444,070B,2,
2249,11487,070B,2,
2250,11469,070B,2,
2251,11491,070B,1,
2252,11127,071A,1,
2253,8827,071A,1,
2254,11493,071A,1,
2255,11089,071A,1,
2256,11432,071A,1,
2257,11516,071A,1,
2258,11543,071A,1,
2259,11496,071A,1,
2260,11520,071A,1,
2261,11548,071A,2,
2262,11504,071A,2,
2263,11486,071A,2,
2264,11545,071A,2,
2265,11094,071A,2,
2266,11469,071A,2,
2267,11507,071A,2,
2268,10629,071A,2,
2269,10557,071B,1,
2270,11241,071B,1,
2271,11571,071B,1,
2272,11577,071B,1,
2273,11516,071B,1,
2274,7877,071B,1,
2275,11597,071B,1,
2276,11556,071B,1,
2277,11573,071B,2,
2278,11591,071B,2,
2279,11567,071B,2,
2280,11621,071B,2,
2281,11043,072A,1,
2282,10818,072A,1,
2283,11128,072A,1,
2284,11115,072A,1,
2285,10967,072A,1,
2287,11634,072A,1,
2288,10767,072A,1,
2289,11661,072A,1,
2290,11654,072A,1,
2291,7877,072A,1,
2292,11057,072A,1,
2293,10972,072A,1,
2294,11659,072A,2,
2295,11631,072A,2,
2296,11632,072A,2,
2297,11664,072A,2,
2298,11640,072A,2,
2299,10817,072A,1,
2300,11618,072A,1,
2301,11110,072A,1,
2302,11073,072A,1,
2303,11042,072A,1,
2304,10960,072A,1,
2306,10774,072A,2,
2307,11118,072B,1,
2308,11088,072B,1,
2309,11676,072B,1,
2310,11680,072B,1,
2311,11681,072B,1,
2312,11571,072B,1,
2313,10762,072B,1,
2314,11723,072B,1,
2315,11699,072B,1,
2316,11697,072B,2,
2317,11661,072B,2,
2318,11727,072B,2,
2319,11073,072B,1,
2320,11043,072B,1,
2321,11745,073A,1,
2322,3153,073A,1,
2323,11771,073A,1,
2324,11770,073A,1,
2325,11769,073A,1,
2326,11762,073A,1,
2327,10762,073A,2,
2328,11746,073A,2,
2329,10501,073A,1,
2330,10542,073B,1,
2331,9725,073B,1,
2332,11789,073B,1,
2333,11804,073B,1,
2334,11799,073B,1,
2335,11831,073B,1,
2336,10762,073B,2,
2337,11808,073B,2,
2338,11820,073B,2,
2339,10501,073B,2,
2340,11792,073B,2,
2341,11924,074A,1,
2343,11816,074A,1,
2344,11840,074A,1,
2345,11862,074A,1,
2346,11854,074A,1,
2347,11857,074A,1,
2348,10542,074A,1,
2350,11841,074A,1,
2351,11935,074A,1,
2352,11891,074A,1,
2353,11902,074A,2,
2354,11955,074A,2,
2355,11847,074A,2,
2356,11846,074A,2,
2357,11884,074A,2,
2358,11866,074A,2,
2359,11969,074B,1,
2360,11984,074B,1,
2361,12034,074B,1,
2362,11956,074B,1,
2363,11957,074B,2,
2364,11980,074B,2,
2365,11959,074B,2,
2366,12032,074B,2,
2367,12015,074B,2,
2369,12008,074B,2,
2370,11884,074B,2,
2371,12006,074B,2,
2372,12002,074B,1,
2373,11988,074B,1,
2374,11985,074B,1,
2375,11973,074B,1,
2376,12081,075A,1,
2377,12097,075A,1,
2378,12076,075A,1,
2379,10976,075A,1,
2380,11975,075A,1,
2381,11891,075A,1,
2382,11973,075A,1,
2383,12126,075A,1,
2384,12056,075A,1,
2385,12139,075A,1,
2386,11988,075A,1,
2387,12130,075A,1,
2388,12002,075A,1,
2389,12021,075A,2,
2390,12047,075A,2,
2391,12117,075A,2,
2392,11959,075A,2,
2393,12032,075A,2,
2394,12129,075A,2,
2395,12078,075A,2,
2396,12112,075A,2,
2398,11734,075A,1,
2399,12187,075B,1,
2400,12203,075B,1,
2401,12183,075B,1,
2402,12130,075B,2,
2403,12158,075B,2,
2404,12193,075B,2,
2405,12159,075B,2,
2406,12134,075B,2,
2407,10976,075B,2,
2408,11959,075B,2,
2409,12056,075B,2,
2410,12139,075B,1,
2411,12231,076A,1,
2412,12289,076A,1,
2413,12246,076A,1,
2414,12282,076A,1,
2415,12139,076A,1,
2416,12183,076A,1,
2418,12250,076A,1,
2419,12244,076A,2,
2420,12193,076A,2,
2421,12237,076A,1,
2423,12304,076B,1,
2424,12265,076B,1,
2425,12332,076B,1,
2426,12312,076B,1,
2427,12370,076B,1,
2428,12311,076B,1,
2429,12372,076B,1,
2430,12391,076B,1,
2431,12363,076B,1,
2432,12250,076B,1,
2433,12331,076B,1,
2434,12139,076B,1,
2435,11118,076B,1,
2436,12187,076B,1,
2437,12405,076B,2,
2438,12368,076B,2,
2439,12390,076B,2,
2440,12327,076B,2,
2441,12343,076B,2,
2442,12389,076B,2,
2443,12345,076B,2,
2444,12344,076B,2,
2445,12365,076B,2,
2446,12193,076B,2,
2447,12336,076B,2,
2448,12374,076B,2,
2449,12466,077A,1,
2450,10853,077A,1,
2451,10922,077A,1,
2452,12431,077A,1,
2453,12434,077A,1,
2454,12473,077A,1,
2455,12467,077A,1,
2456,12470,077A,1,
2457,12250,077A,1,
2458,12433,077A,1,
2459,12331,077A,1,
2460,12479,077A,2,
2461,12442,077A,2,
2462,12416,077A,2,
2463,12486,077A,2,
2464,12193,077A,2,
2465,12405,077A,2,
2466,12600,077B,1,
2467,12139,077B,1,
2468,12523,077B,1,
2469,12537,077B,1,
2470,12527,077B,1,
2471,12250,077B,1,
2472,12467,077B,1,
2473,12521,077B,2,
2474,12583,077B,2,
2475,12563,077B,2,
2476,12599,077B,2,
2477,12607,077B,2,
2478,12568,077B,2,
2479,12598,077B,2,
2480,12587,077B,2,
2481,12542,077B,2,
2482,12608,077B,2,
2483,12609,077B,2,
2484,10922,077B,2,
2485,12416,077B,2,
2486,12559,077B,2,
2487,6558,077B,2,
2488,12745,078A,1,
2489,12315,078A,1,
2492,12621,078A,1,
2493,12651,078A,1,
2494,12677,078A,1,
